nm,Null
427.2,0
427.6,0
428,0
428.4,0
428.8,0
429.2,0
429.6,0
430,0
430.4,0
430.8,0
431.2,0
431.6,0
432,0
432.4,0
432.8,0
433.2,0
433.6,0
434,0
434.4,0
434.8,0
435.2,0
435.6,0
436,0
436.4,0
436.8,0
437.2,0
437.6,0
438,0
438.4,0
438.8,0
439.2,0
439.6,0
440,0
440.4,0
440.8,0
441.2,0
441.6,0
442,0
442.4,0
442.8,0
443.2,0
443.6,0
444,0
444.4,0
444.8,0
445.2,0
445.6,0
446,0
446.4,0
446.8,0
447.2,0
447.6,0
448,0
448.4,0
448.8,0
449.2,0
449.6,0
450,0
450.4,0
450.8,0
451.2,0
451.6,0
452,0
452.4,0
452.8,0
453.2,0
453.6,0
454,0
454.4,0
454.8,0
455.2,0
455.6,0
456,0
456.4,0
456.8,0
457.2,0
457.6,0
458,0
458.4,0
458.8,0
459.2,0
459.6,0
460,0
460.4,0
460.8,0
461.2,0
461.6,0
462,0
462.4,0
462.8,0
463.2,0
463.6,0
464,0
464.4,0
464.8,0
465.2,0
465.6,0
466,0
466.4,0
466.8,0
467.2,0
467.6,0
468,0
468.4,0
468.8,0
469.2,0
469.6,0
470,0
470.4,0
470.8,0
471.2,0
471.6,0
472,0
472.4,0
472.8,0
473.2,0
473.6,0
474,0
474.4,0
474.8,0
475.2,0
475.6,0
476,0
476.4,0
476.8,0
477.2,0
477.6,0
478,0
478.4,0
478.8,0
479.2,0
479.6,0
480,0
480.4,0
480.8,0
481.2,0
481.6,0
482,0
482.4,0
482.8,0
483.2,0
483.6,0
484,0
484.4,0
484.8,0
485.2,0
485.6,0
486,0
486.4,0
486.8,0
487.2,0
487.6,0
488,0
488.4,0
488.8,0
489.2,0
489.6,0
490,0
490.4,0
490.8,0
491.2,0
491.6,0
492,0
492.4,0
492.8,0
493.2,0
493.6,0
494,0
494.4,0
494.8,0
495.2,0
495.6,0
496,0
496.4,0
496.8,0
497.2,0
497.6,0
498,0
498.4,0
498.8,0
499.2,0
499.6,0
500,0
500.4,0
500.8,0
501.2,0
501.6,0
502,0
502.4,0
502.8,0
503.2,0
503.6,0
504,0
504.4,0
504.8,0
505.2,0
505.6,0
506,0
506.4,0
506.8,0
507.2,0
507.6,0
508,0
508.4,0
508.8,0
509.2,0
509.6,0
510,0
510.4,0
510.8,0
511.2,0
511.6,0
512,0
512.4,0
512.8,0
513.2,0
513.6,0
514,0
514.4,0
514.8,0
515.2,0
515.6,0
516,0
516.4,0
516.8,0
517.2,0
517.6,0
518,0
518.4,0
518.8,0
519.2,0
519.6,0
520,0
520.4,0
520.8,0
521.2,0
521.6,0
522,0
522.4,0
522.8,0
523.2,0
523.6,0
524,0
524.4,0
524.8,0
525.2,0
525.6,0
526,0
526.4,0
526.8,0
527.2,0
527.6,0
528,0
528.4,0
528.8,0
529.2,0
529.6,0
530,0
530.4,0
530.8,0
531.2,0
531.6,0
532,0
532.4,0
532.8,0
533.2,0
533.6,0
534,0
534.4,0
534.8,0
535.2,0
535.6,0
536,0
536.4,0
536.8,0
537.2,0
537.6,0
538,0
538.4,0
538.8,0
539.2,0
539.6,0
540,0
540.4,0
540.8,0
541.2,0
541.6,0
542,0
542.4,0
542.8,0
543.2,0
543.6,0
544,0
544.4,0
544.8,0
545.2,0
545.6,0
546,0
546.4,0
546.8,0
547.2,0
547.6,0
548,0
548.4,0
548.8,0
549.2,0
549.6,0
550,0
550.4,0
550.8,0
551.2,0
551.6,0
552,0
552.4,0
552.8,0
553.2,0
553.6,0
554,0
554.4,0
554.8,0
555.2,0
555.6,0
556,0
556.4,0
556.8,0
557.2,0
557.6,0
558,0
558.4,0
558.8,0
559.2,0
559.6,0
560,0
560.4,0
560.8,0
561.2,0
561.6,0
562,0
562.4,0
562.8,0
563.2,0
563.6,0
564,0
564.4,0
564.8,0
565.2,0
565.6,0
566,0
566.4,0
566.8,0
567.2,0
567.6,0
568,0
568.4,0
568.8,0
569.2,0
569.6,0
570,0
570.4,0
570.8,0
571.2,0
571.6,0
572,0
572.4,0
572.8,0
573.2,0
573.6,0
574,0
574.4,0
574.8,0
575.2,0
575.6,0
576,0
576.4,0
576.8,0
577.2,0
577.6,0
578,0
578.4,0
578.8,0
579.2,0
579.6,0
580,0
580.4,0
580.8,0
581.2,0
581.6,0
582,0
582.4,0
582.8,0
583.2,0
583.6,0
584,0
584.4,0
584.8,0
585.2,0
585.6,0
586,0
586.4,0
586.8,0
587.2,0
587.6,0
588,0
588.4,0
588.8,0
589.2,0
589.6,0
590,0
590.4,0
590.8,0
591.2,0
591.6,0
592,0
592.4,0
592.8,0
593.2,0
593.6,0
594,0
594.4,0
594.8,0
595.2,0
595.6,0
596,0
596.4,0
596.8,0
597.2,0
597.6,0
598,0
598.4,0
598.8,0
599.2,0
599.6,0
600,0
600.4,0
600.8,0
601.2,0
601.6,0
602,0
602.4,0
602.8,0
603.2,0
603.6,0
604,0
604.4,0
604.8,0
605.2,0
605.6,0
606,0
606.4,0
606.8,0
607.2,0
607.6,0
608,0
608.4,0
608.8,0
609.2,0
609.6,0
610,0
610.4,0
610.8,0
611.2,0
611.6,0
612,0
612.4,0
612.8,0
613.2,0
613.6,0
614,0
614.4,0
614.8,0
615.2,0
615.6,0
616,0
616.4,0
616.8,0
617.2,0
617.6,0
618,0
618.4,0
618.8,0
619.2,0
619.6,0
620,0
620.4,0
620.8,0
621.2,0
621.6,0
622,0
622.4,0
622.8,0
623.2,0
623.6,0
624,0
624.4,0
624.8,0
625.2,0
625.6,0
626,0
626.4,0
626.8,0
627.2,0
627.6,0
628,0
628.4,0
628.8,0
629.2,0
629.6,0
630,0
630.4,0
630.8,0
631.2,0
631.6,0
632,0
632.4,0
632.8,0
633.2,0
633.6,0
634,0
634.4,0
634.8,0
635.2,0
635.6,0
636,0
636.4,0
636.8,0
637.2,0
637.6,0
638,0
638.4,0
638.8,0
639.2,0
639.6,0
640,0
640.4,0
640.8,0
641.2,0
641.6,0
642,0
642.4,0
642.8,0
643.2,0
643.6,0
644,0
644.4,0
644.8,0
645.2,0
645.6,0
646,0
646.4,0
646.8,0
647.2,0
647.6,0
648,0
648.4,0
648.8,0
649.2,0
649.6,0
650,0
650.4,0
650.8,0
651.2,0
651.6,0
652,0
652.4,0
652.8,0
653.2,0
653.6,0
654,0
654.4,0
654.8,0
655.2,0
655.6,0
656,0
656.4,0
656.8,0
657.2,0
657.6,0
658,0
658.4,0
658.8,0
659.2,0
659.6,0
660,0
660.4,0
660.8,0
661.2,0
661.6,0
662,0
662.4,0
662.8,0
663.2,0
663.6,0
664,0
664.4,0
664.8,0
665.2,0
665.6,0
666,0
666.4,0
666.8,0
667.2,0
667.6,0
668,0
668.4,0
668.8,0
669.2,0
669.6,0
670,0
670.4,0
670.8,0
671.2,0
671.6,0
672,0
672.4,0
672.8,0
673.2,0
673.6,0
674,0
674.4,0
674.8,0
675.2,0
675.6,0
676,0
676.4,0
676.8,0
677.2,0
677.6,0
678,0
678.4,0
678.8,0
679.2,0
679.6,0
680,0
680.4,0
680.8,0
681.2,0
681.6,0
682,0
682.4,0
682.8,0
683.2,0
683.6,0
684,0
684.4,0
684.8,0
685.2,0
685.6,0
686,0
686.4,0
686.8,0
687.2,0
687.6,0
688,0
688.4,0
688.8,0
689.2,0
689.6,0
690,0
690.4,0
690.8,0
691.2,0
691.6,0
692,0
692.4,0
692.8,0
693.2,0
693.6,0
694,0
694.4,0
694.8,0
695.2,0
695.6,0
696,0
696.4,0
696.8,0
697.2,0
697.6,0
698,0
698.4,0
698.8,0
699.2,0
699.6,0
700,0
700.4,0
700.8,0
701.2,0
701.6,0
702,0
702.4,0
702.8,0
703.2,0
703.6,0
704,0
704.4,0
704.8,0
705.2,0
705.6,0
706,0
706.4,0
706.8,0
707.2,0
707.6,0
708,0
708.4,0
708.8,0
709.2,0
709.6,0
710,0
710.4,0
710.8,0
711.2,0
711.6,0
712,0
712.4,0
712.8,0
713.2,0
713.6,0
714,0
714.4,0
714.8,0
715.2,0
715.6,0
716,0
716.4,0
716.8,0
717.2,0
717.6,0
718,0
718.4,0
718.8,0
719.2,0
719.6,0
720,0
720.4,0
720.8,0
721.2,0
721.6,0
722,0
722.4,0
722.8,0
723.2,0
723.6,0
724,0
724.4,0
724.8,0
725.2,0
725.6,0
726,0
726.4,0
726.8,0
727.2,0
727.6,0
728,0
728.4,0
728.8,0
729.2,0
729.6,0
730,0
730.4,0
730.8,0
731.2,0
731.6,0
732,0
732.4,0
732.8,0
733.2,0
733.6,0
734,0
734.4,0
734.8,0
735.2,0
735.6,0
736,0
736.4,0
736.8,0
737.2,0
737.6,0
738,0
738.4,0
738.8,0
739.2,0
739.6,0
740,0
740.4,0
740.8,0
741.2,0
741.6,0
742,0
742.4,0
742.8,0
743.2,0
743.6,0
744,0
744.4,0
744.8,0
745.2,0
745.6,0
746,0
746.4,0
746.8,0
747.2,0
747.6,0
748,0
748.4,0
748.8,0
749.2,0
749.6,0
750,0
